* Measurement data measured by REW V5.20.4
* Source: Umik-1  Gain: 12dB  , MICROPHONE, L, volume: 1.000. Timing signal peak level -28.9 dBFS, measurement signal peak level -23.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Mar 25, 2022 2:01:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0154 ms (-5.3 mm, -0.21 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: 80Hz Target Mar 25
* Smoothing: Psychoacoustic
* Frequency Step: 0.36621097 Hz
* Start Frequency: 50.1709 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
50.170898, 60.907, -69.4285
50.537109, 61.222, -70.3284
50.903320, 61.534, -71.2781
51.269531, 61.843, -72.2778
51.635742, 62.148, -73.3275
52.001953, 62.451, -74.4273
52.368164, 62.749, -75.5768
52.734375, 63.044, -76.7755
53.100586, 63.336, -78.0228
53.466797, 63.625, -79.3176
53.833008, 63.910, -80.6590
54.199219, 64.192, -82.0456
54.565430, 64.470, -83.4759
54.931641, 64.745, -84.9483
55.297852, 65.017, -86.4612
55.664063, 65.286, -88.0125
56.030274, 65.552, -89.6004
56.396485, 65.814, -91.2228
56.762696, 66.073, -92.8778
57.128907, 66.329, -94.5634
57.495118, 66.581, -96.2775
57.861329, 66.831, -98.0182
58.227540, 67.077, -99.7837
58.593751, 67.320, -101.5720
58.959962, 67.560, -103.3816
59.326173, 67.797, -105.2109
59.692384, 68.031, -107.0583
60.058595, 68.261, -108.9227
60.424806, 68.488, -110.8026
60.791016, 68.712, -112.6972
61.157227, 68.932, -114.6054
61.523438, 69.149, -116.5264
61.889649, 69.363, -118.4595
62.255860, 69.574, -120.4041
62.622071, 69.781, -122.3597
62.988282, 69.985, -124.3259
63.354493, 70.186, -126.3022
63.720704, 70.383, -128.2885
64.086915, 70.577, -130.2846
64.453126, 70.768, -132.2902
64.819337, 70.955, -134.3052
65.185548, 71.138, -136.3295
65.551759, 71.319, -138.3630
65.917970, 71.495, -140.4057
66.284181, 71.669, -142.4574
66.650392, 71.839, -144.5182
67.016603, 72.005, -146.5878
67.382814, 72.168, -148.6662
67.749025, 72.328, -150.7533
68.115236, 72.484, -152.8489
68.481447, 72.637, -154.9529
68.847658, 72.786, -157.0651
69.213869, 72.932, -159.1853
69.580080, 73.074, -161.3132
69.946291, 73.213, -163.4486
70.312502, 73.348, -165.5911
70.678713, 73.480, -167.7404
71.044924, 73.608, -169.8962
71.411135, 73.733, -172.0581
71.777346, 73.854, -174.2255
72.143556, 73.972, -176.3982
72.509767, 74.086, -178.5755
72.875978, 74.197, 179.2430
73.242189, 74.304, 177.0580
73.608400, 74.408, 174.8699
73.974611, 74.509, 172.6795
74.340822, 74.606, 170.4874
74.707033, 74.699, 168.2942
75.073244, 74.789, 166.1007
75.439455, 74.876, 163.9076
75.805666, 74.959, 161.7158
76.171877, 75.039, 159.5260
76.538088, 75.116, 157.3391
76.904299, 75.189, 155.1559
77.270510, 75.259, 152.9774
77.636721, 75.326, 150.8044
78.002932, 75.389, 148.6379
78.369143, 75.449, 146.4788
78.735354, 75.506, 144.3281
79.101565, 75.559, 142.1867
79.467776, 75.610, 140.0557
79.833987, 75.657, 137.9359
80.200198, 75.702, 135.8285
80.566409, 75.743, 133.7343
80.932620, 75.782, 131.6543
81.298831, 75.817, 129.5895
81.665042, 75.850, 127.5408
82.031253, 75.880, 125.5090
82.397464, 75.908, 123.4951
82.763675, 75.932, 121.4999
83.129885, 75.954, 119.5242
83.496096, 75.974, 117.5688
83.862307, 75.991, 115.6344
84.228518, 76.006, 113.7217
84.594729, 76.019, 111.8313
84.960940, 76.029, 109.9638
85.327151, 76.037, 108.1197
85.693362, 76.044, 106.2994
86.059573, 76.048, 104.5035
86.425784, 76.051, 102.7322
86.791995, 76.052, 100.9859
87.158206, 76.051, 99.2647
87.524417, 76.048, 97.5689
87.890628, 76.045, 95.8985
88.256839, 76.040, 94.2537
88.623050, 76.033, 92.6344
88.989261, 76.026, 91.0406
89.355472, 76.017, 89.4722
89.721683, 76.008, 87.9290
90.087894, 75.997, 86.4108
90.454105, 75.986, 84.9175
90.820316, 75.974, 83.4486
91.186527, 75.961, 82.0040
91.552738, 75.948, 80.5832
91.918949, 75.935, 79.1858
92.285160, 75.921, 77.8114
92.651371, 75.907, 76.4597
93.017582, 75.892, 75.1300
93.383793, 75.878, 73.8220
93.750004, 75.863, 72.5352
94.116215, 75.848, 71.2690
94.482425, 75.833, 70.0229
94.848636, 75.819, 68.7964
95.214847, 75.804, 67.5889
95.581058, 75.790, 66.4001
95.947269, 75.776, 65.2292
96.313480, 75.762, 64.0758
96.679691, 75.748, 62.9394
97.045902, 75.734, 61.8195
97.412113, 75.721, 60.7156
97.778324, 75.708, 59.6272
98.144535, 75.696, 58.5538
98.510746, 75.684, 57.4950
98.876957, 75.672, 56.4504
99.243168, 75.660, 55.4195
99.609379, 75.649, 54.4019
99.975590, 75.639, 53.3972
100.341801, 75.628, 52.4051
100.708012, 75.618, 51.4232
101.074223, 75.608, 50.4512
101.440434, 75.599, 49.4887
101.806645, 75.590, 48.5356
102.172856, 75.581, 47.5917
102.539067, 75.573, 46.6567
102.905278, 75.565, 45.7306
103.271489, 75.557, 44.8130
103.637700, 75.549, 43.9040
104.003911, 75.542, 43.0033
104.370122, 75.535, 42.1108
104.736333, 75.528, 41.2264
105.102544, 75.521, 40.3501
105.468755, 75.515, 39.4818
105.834965, 75.508, 38.6212
106.201176, 75.502, 37.7686
106.567387, 75.496, 36.9237
106.933598, 75.491, 36.0865
107.299809, 75.485, 35.2570
107.666020, 75.480, 34.4351
108.032231, 75.474, 33.6209
108.398442, 75.469, 32.8142
108.764653, 75.464, 32.0152
109.130864, 75.460, 31.2237
109.497075, 75.455, 30.4398
109.863286, 75.451, 29.6633
110.229497, 75.446, 28.8944
110.595708, 75.442, 28.1330
110.961919, 75.438, 27.3790
111.328130, 75.434, 26.6324
111.694341, 75.431, 25.8933
112.060552, 75.427, 25.1615
112.426763, 75.424, 24.4370
112.792974, 75.421, 23.7197
113.159185, 75.418, 23.0095
113.525396, 75.416, 22.3065
113.891607, 75.414, 21.6106
114.257818, 75.412, 20.9215
114.624029, 75.410, 20.2393
114.990240, 75.409, 19.5638
115.356451, 75.408, 18.8949
115.722662, 75.407, 18.2324
116.088873, 75.407, 17.5764
116.455084, 75.407, 16.9265
116.821294, 75.407, 16.2826
117.187505, 75.408, 15.6447
117.553716, 75.409, 15.0125
117.919927, 75.410, 14.3858
118.286138, 75.412, 13.7645
118.652349, 75.414, 13.1484
119.018560, 75.417, 12.5374
119.384771, 75.420, 11.9312
119.750982, 75.423, 11.3297
120.117193, 75.427, 10.7326
120.483404, 75.431, 10.1398
120.849615, 75.436, 9.5511
121.215826, 75.440, 8.9664
121.582037, 75.446, 8.3854
121.948248, 75.451, 7.8080
122.314459, 75.457, 7.2340
122.680670, 75.463, 6.6633
123.046881, 75.470, 6.0956
123.413092, 75.477, 5.5310
123.779303, 75.484, 4.9692
124.145514, 75.491, 4.4101
124.511725, 75.499, 3.8536
124.877936, 75.507, 3.2996
125.244147, 75.515, 2.7479
125.610358, 75.523, 2.1986
125.976569, 75.531, 1.6516
126.342780, 75.540, 1.1066
126.708991, 75.548, 0.5638
127.075202, 75.557, 0.0231
127.441413, 75.566, -0.5156
127.807624, 75.575, -1.0523
128.173834, 75.584, -1.5870
128.540045, 75.593, -2.1198
128.906256, 75.602, -2.6505
129.272467, 75.611, -3.1793
129.638678, 75.620, -3.7061
130.004889, 75.629, -4.2309
130.371100, 75.638, -4.7537
130.737311, 75.647, -5.2745
131.103522, 75.656, -5.7932
131.469733, 75.665, -6.3098
131.835944, 75.674, -6.8243
132.202155, 75.682, -7.3368
132.568366, 75.691, -7.8471
132.934577, 75.700, -8.3553
133.300788, 75.709, -8.8613
133.666999, 75.718, -9.3651
134.033210, 75.726, -9.8667
134.399421, 75.735, -10.3662
134.765632, 75.743, -10.8635
135.131843, 75.752, -11.3586
135.498054, 75.761, -11.8517
135.864265, 75.769, -12.3427
136.230476, 75.778, -12.8315
136.596687, 75.786, -13.3184
136.962898, 75.795, -13.8032
137.329109, 75.803, -14.2861
137.695320, 75.812, -14.7672
138.061531, 75.820, -15.2466
138.427742, 75.829, -15.7241
138.793953, 75.837, -16.2001
139.160163, 75.846, -16.6744
139.526374, 75.855, -17.1473
139.892585, 75.863, -17.6188
140.258796, 75.872, -18.0890
140.625007, 75.880, -18.5579
140.991218, 75.889, -19.0257
141.357429, 75.897, -19.4925
141.723640, 75.906, -19.9583
142.089851, 75.914, -20.4232
142.456062, 75.923, -20.8873
142.822273, 75.931, -21.3507
143.188484, 75.940, -21.8134
143.554695, 75.948, -22.2755
143.920906, 75.956, -22.7371
144.287117, 75.964, -23.1981
144.653328, 75.972, -23.6587
145.019539, 75.980, -24.1189
145.385750, 75.988, -24.5787
145.751961, 75.996, -25.0381
146.118172, 76.003, -25.4972
146.484383, 76.010, -25.9559
146.850594, 76.017, -26.4142
147.216805, 76.024, -26.8721
147.583016, 76.031, -27.3296
147.949227, 76.038, -27.7866
148.315438, 76.044, -28.2432
148.681649, 76.050, -28.6992
149.047860, 76.056, -29.1547
149.414071, 76.061, -29.6094
149.780282, 76.066, -30.0634
150.146493, 76.071, -30.5166
150.512703, 76.076, -30.9689
150.878914, 76.080, -31.4203
151.245125, 76.084, -31.8706
151.611336, 76.088, -32.3198
151.977547, 76.092, -32.7677
152.343758, 76.095, -33.2142
152.709969, 76.098, -33.6594
153.076180, 76.100, -34.1030
153.442391, 76.103, -34.5450
153.808602, 76.105, -34.9854
154.174813, 76.107, -35.4239
154.541024, 76.108, -35.8605
154.907235, 76.109, -36.2952
155.273446, 76.110, -36.7278
155.639657, 76.111, -37.1583
156.005868, 76.111, -37.5865
156.372079, 76.111, -38.0126
156.738290, 76.111, -38.4363
157.104501, 76.111, -38.8575
157.470712, 76.110, -39.2764
157.836923, 76.110, -39.6928
158.203134, 76.109, -40.1067
158.569345, 76.108, -40.5179
158.935556, 76.106, -40.9266
159.301767, 76.105, -41.3328
159.667978, 76.103, -41.7362
160.034189, 76.101, -42.1370
160.400400, 76.099, -42.5352
160.766611, 76.097, -42.9308
161.132822, 76.095, -43.3237
161.499032, 76.093, -43.7140
161.865243, 76.090, -44.1016
162.231454, 76.088, -44.4867
162.597665, 76.085, -44.8692
162.963876, 76.082, -45.2491
163.330087, 76.080, -45.6266
163.696298, 76.077, -46.0015
164.062509, 76.074, -46.3740
164.428720, 76.071, -46.7440
164.794931, 76.068, -47.1116
165.161142, 76.065, -47.4769
165.527353, 76.061, -47.8398
165.893564, 76.058, -48.2004
166.259775, 76.055, -48.5588
166.625986, 76.051, -48.9149
166.992197, 76.048, -49.2688
167.358408, 76.044, -49.6205
167.724619, 76.041, -49.9701
168.090830, 76.037, -50.3176
168.457041, 76.033, -50.6630
168.823252, 76.029, -51.0062
169.189463, 76.026, -51.3474
169.555674, 76.022, -51.6866
169.921885, 76.017, -52.0237
170.288096, 76.013, -52.3588
170.654307, 76.009, -52.6919
171.020518, 76.005, -53.0229
171.386729, 76.000, -53.3519
171.752940, 75.995, -53.6790
172.119151, 75.991, -54.0039
172.485362, 75.986, -54.3269
172.851572, 75.981, -54.6477
173.217783, 75.976, -54.9666
173.583994, 75.971, -55.2833
173.950205, 75.965, -55.5979
174.316416, 75.960, -55.9105
174.682627, 75.954, -56.2208
175.048838, 75.949, -56.5291
175.415049, 75.943, -56.8351
175.781260, 75.937, -57.1389
176.147471, 75.931, -57.4406
176.513682, 75.925, -57.7399
176.879893, 75.918, -58.0370
177.246104, 75.912, -58.3318
177.612315, 75.905, -58.6242
177.978526, 75.899, -58.9143
178.344737, 75.892, -59.2021
178.710948, 75.885, -59.4875
179.077159, 75.878, -59.7705
179.443370, 75.871, -60.0511
179.809581, 75.864, -60.3293
180.175792, 75.857, -60.6051
180.542003, 75.850, -60.8784
180.908214, 75.842, -61.1494
181.274425, 75.835, -61.4180
181.640636, 75.828, -61.6841
182.006847, 75.820, -61.9479
182.373058, 75.813, -62.2092
182.739269, 75.805, -62.4683
183.105480, 75.798, -62.7249
183.471691, 75.791, -62.9793
183.837902, 75.783, -63.2314
184.204112, 75.776, -63.4813
184.570323, 75.769, -63.7290
184.936534, 75.762, -63.9745
185.302745, 75.755, -64.2179
185.668956, 75.748, -64.4592
186.035167, 75.741, -64.6986
186.401378, 75.734, -64.9360
186.767589, 75.727, -65.1716
187.133800, 75.721, -65.4053
187.500011, 75.714, -65.6372
187.866222, 75.708, -65.8675
188.232433, 75.702, -66.0961
188.598644, 75.696, -66.3232
188.964855, 75.690, -66.5488
189.331066, 75.684, -66.7731
189.697277, 75.679, -66.9959
190.063488, 75.674, -67.2175
190.429699, 75.669, -67.4380
190.795910, 75.664, -67.6572
191.162121, 75.659, -67.8755
191.528332, 75.655, -68.0929
191.894543, 75.650, -68.3093
192.260754, 75.646, -68.5248
192.626965, 75.642, -68.7396
192.993176, 75.638, -68.9538
193.359387, 75.635, -69.1673
193.725598, 75.631, -69.3802
194.091809, 75.628, -69.5927
194.458020, 75.625, -69.8046
194.824231, 75.622, -70.0162
195.190441, 75.619, -70.2274
195.556652, 75.617, -70.4384
195.922863, 75.614, -70.6489
196.289074, 75.612, -70.8594
196.655285, 75.610, -71.0696
197.021496, 75.608, -71.2797
197.387707, 75.606, -71.4896
197.753918, 75.604, -71.6995
198.120129, 75.602, -71.9093
198.486340, 75.601, -72.1190
198.852551, 75.599, -72.3286
199.218762, 75.598, -72.5382
199.584973, 75.597, -72.7478
199.951184, 75.595, -72.9574
200.317395, 75.594, -73.1669
200.683606, 75.593, -73.3764
201.049817, 75.592, -73.5858
201.416028, 75.591, -73.7952
201.782239, 75.590, -74.0046
202.148450, 75.589, -74.2139
202.514661, 75.588, -74.4230
202.880872, 75.587, -74.6321
203.247083, 75.586, -74.8409
203.613294, 75.585, -75.0497
203.979505, 75.584, -75.2583
204.345716, 75.583, -75.4667
204.711927, 75.582, -75.6748
205.078138, 75.581, -75.8827
205.444349, 75.580, -76.0902
205.810560, 75.579, -76.2975
206.176771, 75.577, -76.5043
206.542981, 75.576, -76.7108
206.909192, 75.575, -76.9169
207.275403, 75.574, -77.1224
207.641614, 75.572, -77.3276
208.007825, 75.571, -77.5321
208.374036, 75.570, -77.7361
208.740247, 75.568, -77.9396
209.106458, 75.567, -78.1424
209.472669, 75.565, -78.3446
209.838880, 75.564, -78.5461
210.205091, 75.562, -78.7469
210.571302, 75.560, -78.9470
210.937513, 75.558, -79.1463
211.303724, 75.557, -79.3448
211.669935, 75.555, -79.5427
212.036146, 75.553, -79.7396
212.402357, 75.551, -79.9358
212.768568, 75.549, -80.1312
213.134779, 75.547, -80.3257
213.500990, 75.545, -80.5193
213.867201, 75.543, -80.7120
214.233412, 75.541, -80.9039
214.599623, 75.539, -81.0950
214.965834, 75.537, -81.2850
215.332045, 75.535, -81.4743
215.698256, 75.533, -81.6627
216.064467, 75.531, -81.8501
216.430678, 75.529, -82.0367
216.796889, 75.527, -82.2225
217.163100, 75.525, -82.4073
217.529310, 75.523, -82.5914
217.895521, 75.521, -82.7745
218.261732, 75.519, -82.9568
218.627943, 75.517, -83.1383
218.994154, 75.515, -83.3190
219.360365, 75.513, -83.4989
219.726576, 75.511, -83.6779
220.092787, 75.509, -83.8562
220.458998, 75.507, -84.0337
220.825209, 75.505, -84.2104
221.191420, 75.503, -84.3864
221.557631, 75.501, -84.5616
221.923842, 75.499, -84.7361
222.290053, 75.497, -84.9098
222.656264, 75.495, -85.0829
223.022475, 75.493, -85.2552
223.388686, 75.491, -85.4268
223.754897, 75.489, -85.5977
224.121108, 75.487, -85.7679
224.487319, 75.486, -85.9374
224.853530, 75.484, -86.1063
225.219741, 75.482, -86.2744
225.585952, 75.480, -86.4418
225.952163, 75.478, -86.6085
226.318374, 75.476, -86.7745
226.684585, 75.475, -86.9398
227.050796, 75.473, -87.1044
227.417007, 75.471, -87.2682
227.783218, 75.469, -87.4312
228.149429, 75.467, -87.5935
228.515640, 75.465, -87.7550
228.881850, 75.463, -87.9157
229.248061, 75.462, -88.0756
229.614272, 75.460, -88.2346
229.980483, 75.458, -88.3928
230.346694, 75.456, -88.5500
230.712905, 75.454, -88.7064
231.079116, 75.452, -88.8618
231.445327, 75.450, -89.0163
231.811538, 75.448, -89.1698
232.177749, 75.446, -89.3222
232.543960, 75.444, -89.4736
232.910171, 75.442, -89.6239
233.276382, 75.440, -89.7732
233.642593, 75.438, -89.9213
234.008804, 75.436, -90.0682
234.375015, 75.433, -90.2140
234.741226, 75.431, -90.3585
235.107437, 75.429, -90.5018
235.473648, 75.427, -90.6438
235.839859, 75.425, -90.7845
236.206070, 75.423, -90.9240
236.572281, 75.421, -91.0621
236.938492, 75.419, -91.1989
237.304703, 75.417, -91.3342
237.670914, 75.415, -91.4682
238.037125, 75.413, -91.6008
238.403336, 75.411, -91.7321
238.769547, 75.410, -91.8618
239.135758, 75.408, -91.9902
239.501969, 75.406, -92.1172
239.868180, 75.405, -92.2427
240.234390, 75.403, -92.3668
240.600601, 75.402, -92.4896
240.966812, 75.401, -92.6108
