* Measurement data measured by REW V5.20.4
* Source: Umik-1  Gain: 12dB  , MICROPHONE, L, volume: 1.000. Timing signal peak level -17.3 dBFS, measurement signal peak level -8.3 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Mar 25, 2022 9:53:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0204 ms (-7.0 mm, -0.28 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: 80Hz Target Mar 25
* Smoothing: Psychoacoustic
* Frequency Step: 0.36621097 Hz
* Start Frequency: 50.1709 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
50.170898, 65.356, 58.9540
50.537109, 65.411, 78.7382
50.903320, 65.457, 99.0684
51.269531, 65.492, 119.8679
51.635742, 65.518, 141.0543
52.001953, 65.535, 162.5400
52.368164, 65.544, -175.7660
52.734375, 65.545, -153.9574
53.100586, 65.539, -132.1289
53.466797, 65.527, -110.3751
53.833008, 65.510, -88.7889
54.199219, 65.488, -67.4604
54.565430, 65.463, -46.4756
54.931641, 65.436, -25.9153
55.297852, 65.408, -5.8542
55.664063, 65.380, 13.6402
56.030274, 65.354, 32.5078
56.396485, 65.329, 50.6964
56.762696, 65.309, 68.1624
57.128907, 65.293, 84.8702
57.495118, 65.283, 100.7923
57.861329, 65.280, 115.9093
58.227540, 65.284, 130.2092
58.593751, 65.297, 143.6871
58.959962, 65.318, 156.3442
59.326173, 65.349, 168.1880
59.692384, 65.390, 179.2306
60.058595, 65.440, -170.5111
60.424806, 65.499, -161.0161
60.791016, 65.569, -152.2609
61.157227, 65.647, -144.2188
61.523438, 65.734, -136.8611
61.889649, 65.829, -130.1577
62.255860, 65.932, -124.0779
62.622071, 66.042, -118.5896
62.988282, 66.157, -113.6609
63.354493, 66.279, -109.2598
63.720704, 66.406, -105.3550
64.086915, 66.536, -101.9153
64.453126, 66.671, -98.9106
64.819337, 66.809, -96.3118
65.185548, 66.949, -94.0905
65.551759, 67.091, -92.2198
65.917970, 67.235, -90.6741
66.284181, 67.379, -89.4286
66.650392, 67.525, -88.4602
67.016603, 67.671, -87.7471
67.382814, 67.817, -87.2683
67.749025, 67.963, -87.0049
68.115236, 68.109, -86.9385
68.481447, 68.254, -87.0522
68.847658, 68.398, -87.3303
69.213869, 68.541, -87.7579
69.580080, 68.683, -88.3217
69.946291, 68.823, -89.0088
70.312502, 68.963, -89.8076
70.678713, 69.101, -90.7075
71.044924, 69.237, -91.6985
71.411135, 69.372, -92.7712
71.777346, 69.506, -93.9175
72.143556, 69.637, -95.1295
72.509767, 69.767, -96.4003
72.875978, 69.896, -97.7231
73.242189, 70.022, -99.0925
73.608400, 70.147, -100.5026
73.974611, 70.271, -101.9485
74.340822, 70.392, -103.4258
74.707033, 70.512, -104.9303
75.073244, 70.630, -106.4583
75.439455, 70.746, -108.0061
75.805666, 70.861, -109.5707
76.171877, 70.974, -111.1493
76.538088, 71.086, -112.7391
76.904299, 71.196, -114.3379
77.270510, 71.304, -115.9431
77.636721, 71.411, -117.5532
78.002932, 71.517, -119.1659
78.369143, 71.621, -120.7797
78.735354, 71.724, -122.3929
79.101565, 71.826, -124.0042
79.467776, 71.926, -125.6122
79.833987, 72.026, -127.2156
80.200198, 72.124, -128.8132
80.566409, 72.221, -130.4043
80.932620, 72.317, -131.9874
81.298831, 72.412, -133.5620
81.665042, 72.507, -135.1271
82.031253, 72.600, -136.6819
82.397464, 72.693, -138.2258
82.763675, 72.785, -139.7581
83.129885, 72.877, -141.2781
83.496096, 72.968, -142.7854
83.862307, 73.058, -144.2795
84.228518, 73.148, -145.7600
84.594729, 73.238, -147.2263
84.960940, 73.327, -148.6783
85.327151, 73.416, -150.1157
85.693362, 73.505, -151.5381
86.059573, 73.593, -152.9453
86.425784, 73.681, -154.3372
86.791995, 73.770, -155.7139
87.158206, 73.858, -157.0750
87.524417, 73.945, -158.4207
87.890628, 74.033, -159.7507
88.256839, 74.121, -161.0656
88.623050, 74.209, -162.3650
88.989261, 74.296, -163.6492
89.355472, 74.384, -164.9185
89.721683, 74.472, -166.1727
90.087894, 74.559, -167.4124
90.454105, 74.647, -168.6377
90.820316, 74.734, -169.8489
91.186527, 74.822, -171.0461
91.552738, 74.909, -172.2297
91.918949, 74.996, -173.4003
92.285160, 75.084, -174.5579
92.651371, 75.171, -175.7030
93.017582, 75.258, -176.8359
93.383793, 75.345, -177.9570
93.750004, 75.431, -179.0669
94.116215, 75.518, 179.8345
94.482425, 75.604, 178.7463
94.848636, 75.690, 177.6685
95.214847, 75.775, 176.6006
95.581058, 75.861, 175.5420
95.947269, 75.946, 174.4927
96.313480, 76.031, 173.4520
96.679691, 76.115, 172.4198
97.045902, 76.199, 171.3955
97.412113, 76.282, 170.3792
97.778324, 76.365, 169.3700
98.144535, 76.448, 168.3679
98.510746, 76.530, 167.3726
98.876957, 76.612, 166.3838
99.243168, 76.693, 165.4012
99.609379, 76.774, 164.4246
99.975590, 76.854, 163.4537
100.341801, 76.933, 162.4883
100.708012, 77.012, 161.5264
101.074223, 77.091, 160.5674
101.440434, 77.169, 159.6112
101.806645, 77.247, 158.6580
102.172856, 77.324, 157.7073
102.539067, 77.401, 156.7590
102.905278, 77.478, 155.8135
103.271489, 77.554, 154.8701
103.637700, 77.629, 153.9291
104.003911, 77.704, 152.9902
104.370122, 77.779, 152.0537
104.736333, 77.853, 151.1194
105.102544, 77.927, 150.1873
105.468755, 78.000, 149.2572
105.834965, 78.072, 148.3293
106.201176, 78.144, 147.4036
106.567387, 78.216, 146.4801
106.933598, 78.287, 145.5588
107.299809, 78.358, 144.6396
107.666020, 78.428, 143.7229
108.032231, 78.498, 142.8083
108.398442, 78.567, 141.8962
108.764653, 78.636, 140.9865
109.130864, 78.704, 140.0791
109.497075, 78.772, 139.1743
109.863286, 78.840, 138.2721
110.229497, 78.907, 137.3724
110.595708, 78.973, 136.4755
110.961919, 79.040, 135.5812
111.328130, 79.105, 134.6897
111.694341, 79.171, 133.8008
112.060552, 79.236, 132.9149
112.426763, 79.300, 132.0319
112.792974, 79.364, 131.1516
113.159185, 79.428, 130.2744
113.525396, 79.492, 129.4001
113.891607, 79.555, 128.5288
114.257818, 79.617, 127.6604
114.624029, 79.680, 126.7950
114.990240, 79.742, 125.9326
115.356451, 79.803, 125.0732
115.722662, 79.864, 124.2168
116.088873, 79.925, 123.3632
116.455084, 79.985, 122.5126
116.821294, 80.046, 121.6650
117.187505, 80.105, 120.8203
117.553716, 80.164, 119.9783
117.919927, 80.223, 119.1393
118.286138, 80.282, 118.3030
118.652349, 80.340, 117.4694
119.018560, 80.398, 116.6386
119.384771, 80.455, 115.8104
119.750982, 80.512, 114.9849
120.117193, 80.569, 114.1619
120.483404, 80.625, 113.3415
120.849615, 80.681, 112.5236
121.215826, 80.736, 111.7081
121.582037, 80.791, 110.8950
121.948248, 80.846, 110.0843
122.314459, 80.900, 109.2759
122.680670, 80.953, 108.4699
123.046881, 81.007, 107.6661
123.413092, 81.059, 106.8646
123.779303, 81.112, 106.0653
124.145514, 81.164, 105.2682
124.511725, 81.215, 104.4734
124.877936, 81.266, 103.6807
125.244147, 81.317, 102.8903
125.610358, 81.367, 102.1020
125.976569, 81.416, 101.3159
126.342780, 81.466, 100.5320
126.708991, 81.514, 99.7504
127.075202, 81.563, 98.9710
127.441413, 81.610, 98.1939
127.807624, 81.658, 97.4191
128.173834, 81.705, 96.6467
128.540045, 81.751, 95.8765
128.906256, 81.797, 95.1088
129.272467, 81.843, 94.3435
129.638678, 81.888, 93.5806
130.004889, 81.933, 92.8203
130.371100, 81.977, 92.0626
130.737311, 82.021, 91.3074
131.103522, 82.065, 90.5549
131.469733, 82.108, 89.8051
131.835944, 82.151, 89.0578
132.202155, 82.194, 88.3134
132.568366, 82.236, 87.5717
132.934577, 82.278, 86.8328
133.300788, 82.319, 86.0967
133.666999, 82.360, 85.3635
134.033210, 82.401, 84.6329
134.399421, 82.442, 83.9053
134.765632, 82.482, 83.1806
135.131843, 82.522, 82.4586
135.498054, 82.561, 81.7394
135.864265, 82.600, 81.0232
136.230476, 82.639, 80.3096
136.596687, 82.678, 79.5989
136.962898, 82.717, 78.8909
137.329109, 82.755, 78.1855
137.695320, 82.793, 77.4829
138.061531, 82.830, 76.7829
138.427742, 82.867, 76.0854
138.793953, 82.905, 75.3906
139.160163, 82.941, 74.6982
139.526374, 82.978, 74.0082
139.892585, 83.014, 73.3207
140.258796, 83.050, 72.6354
140.625007, 83.086, 71.9525
140.991218, 83.121, 71.2719
141.357429, 83.156, 70.5933
141.723640, 83.191, 69.9169
142.089851, 83.225, 69.2426
142.456062, 83.260, 68.5703
142.822273, 83.293, 67.9000
143.188484, 83.327, 67.2317
143.554695, 83.360, 66.5652
143.920906, 83.393, 65.9008
144.287117, 83.426, 65.2381
144.653328, 83.458, 64.5773
145.019539, 83.490, 63.9183
145.385750, 83.522, 63.2610
145.751961, 83.553, 62.6056
146.118172, 83.584, 61.9520
146.484383, 83.614, 61.3001
146.850594, 83.645, 60.6500
147.216805, 83.674, 60.0017
147.583016, 83.704, 59.3552
147.949227, 83.733, 58.7106
148.315438, 83.762, 58.0677
148.681649, 83.790, 57.4268
149.047860, 83.818, 56.7877
149.414071, 83.846, 56.1506
149.780282, 83.874, 55.5154
150.146493, 83.901, 54.8821
150.512703, 83.927, 54.2509
150.878914, 83.953, 53.6218
151.245125, 83.979, 52.9948
151.611336, 84.005, 52.3699
151.977547, 84.030, 51.7471
152.343758, 84.055, 51.1266
152.709969, 84.080, 50.5084
153.076180, 84.104, 49.8924
153.442391, 84.128, 49.2787
153.808602, 84.152, 48.6675
154.174813, 84.175, 48.0586
154.541024, 84.199, 47.4521
154.907235, 84.221, 46.8480
155.273446, 84.244, 46.2465
155.639657, 84.266, 45.6474
156.005868, 84.288, 45.0508
156.372079, 84.310, 44.4568
156.738290, 84.332, 43.8653
157.104501, 84.353, 43.2763
157.470712, 84.374, 42.6899
157.836923, 84.395, 42.1060
158.203134, 84.415, 41.5247
158.569345, 84.436, 40.9459
158.935556, 84.456, 40.3697
159.301767, 84.476, 39.7960
159.667978, 84.496, 39.2248
160.034189, 84.515, 38.6561
160.400400, 84.534, 38.0898
160.766611, 84.554, 37.5261
161.132822, 84.573, 36.9647
161.499032, 84.591, 36.4058
161.865243, 84.610, 35.8493
162.231454, 84.628, 35.2952
162.597665, 84.646, 34.7434
162.963876, 84.664, 34.1940
163.330087, 84.682, 33.6468
163.696298, 84.700, 33.1019
164.062509, 84.717, 32.5593
164.428720, 84.735, 32.0189
164.794931, 84.752, 31.4808
165.161142, 84.769, 30.9448
165.527353, 84.785, 30.4110
165.893564, 84.802, 29.8794
166.259775, 84.818, 29.3499
166.625986, 84.834, 28.8226
166.992197, 84.850, 28.2973
167.358408, 84.866, 27.7742
167.724619, 84.881, 27.2532
168.090830, 84.897, 26.7343
168.457041, 84.912, 26.2175
168.823252, 84.927, 25.7028
169.189463, 84.941, 25.1902
169.555674, 84.956, 24.6798
169.921885, 84.970, 24.1715
170.288096, 84.984, 23.6654
170.654307, 84.998, 23.1614
171.020518, 85.011, 22.6597
171.386729, 85.025, 22.1601
171.752940, 85.038, 21.6628
172.119151, 85.051, 21.1677
172.485362, 85.063, 20.6749
172.851572, 85.076, 20.1844
173.217783, 85.088, 19.6964
173.583994, 85.100, 19.2106
173.950205, 85.112, 18.7272
174.316416, 85.124, 18.2463
174.682627, 85.135, 17.7679
175.048838, 85.146, 17.2919
175.415049, 85.158, 16.8185
175.781260, 85.168, 16.3476
176.147471, 85.179, 15.8793
176.513682, 85.190, 15.4136
176.879893, 85.200, 14.9504
177.246104, 85.210, 14.4900
177.612315, 85.220, 14.0322
177.978526, 85.230, 13.5770
178.344737, 85.240, 13.1246
178.710948, 85.250, 12.6749
179.077159, 85.260, 12.2279
179.443370, 85.269, 11.7836
179.809581, 85.278, 11.3421
180.175792, 85.288, 10.9033
180.542003, 85.297, 10.4672
180.908214, 85.306, 10.0338
181.274425, 85.315, 9.6031
181.640636, 85.324, 9.1750
182.006847, 85.333, 8.7497
182.373058, 85.342, 8.3270
182.739269, 85.351, 7.9069
183.105480, 85.360, 7.4893
183.471691, 85.368, 7.0743
183.837902, 85.377, 6.6619
184.204112, 85.386, 6.2519
184.570323, 85.395, 5.8443
184.936534, 85.404, 5.4391
185.302745, 85.412, 5.0363
185.668956, 85.421, 4.6357
186.035167, 85.430, 4.2374
186.401378, 85.439, 3.8412
186.767589, 85.448, 3.4472
187.133800, 85.457, 3.0552
187.500011, 85.466, 2.6652
187.866222, 85.475, 2.2771
188.232433, 85.484, 1.8909
188.598644, 85.493, 1.5065
188.964855, 85.503, 1.1239
189.331066, 85.512, 0.7430
189.697277, 85.521, 0.3636
190.063488, 85.530, -0.0141
190.429699, 85.540, -0.3903
190.795910, 85.549, -0.7651
191.162121, 85.558, -1.1385
191.528332, 85.568, -1.5106
191.894543, 85.577, -1.8814
192.260754, 85.587, -2.2510
192.626965, 85.596, -2.6194
192.993176, 85.606, -2.9866
193.359387, 85.615, -3.3528
193.725598, 85.625, -3.7179
194.091809, 85.634, -4.0820
194.458020, 85.644, -4.4451
194.824231, 85.653, -4.8073
195.190441, 85.663, -5.1686
195.556652, 85.672, -5.5290
195.922863, 85.682, -5.8885
