* Measurement data measured by REW V5.20.4
* Source: Dec 16 Filtered
* Format: 
* Dated: Dec 18, 2021 7:00:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 111.9 dB
* Note: ; Delay -0.0213 ms (-7.3 mm, -0.29 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset PK       Fc   316.0 Hz  Gain -12.30 dB  Q  5.000 PK       Fc   182.0 Hz  Gain  -9.00 dB  Q 10.000
* Measurement: EQ Dec 16
* Smoothing: 1/3 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 50.13199 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
50.131989, 117.472, -159.2389
50.468445, 117.525, -160.9907
50.804901, 117.457, -158.7322
51.141357, 117.355, -155.4088
51.477814, 117.220, -151.1268
51.814270, 117.056, -146.0115
52.150726, 116.863, -140.1998
52.487183, 116.644, -133.8343
52.823639, 116.400, -127.0573
53.160095, 116.134, -120.0057
53.496552, 115.847, -112.8081
53.833008, 115.542, -105.5818
54.169464, 115.219, -98.4315
54.505920, 114.881, -91.4489
54.842377, 114.529, -84.7126
55.178833, 114.164, -78.2886
55.515289, 113.788, -72.2310
55.851746, 113.402, -66.5823
56.188202, 113.007, -61.3744
56.524658, 112.603, -56.6292
56.861115, 112.193, -52.3585
57.197571, 111.778, -48.5658
57.534027, 111.357, -45.2460
57.870483, 110.933, -42.3870
58.206940, 110.506, -39.9709
58.543396, 110.077, -37.9755
58.879852, 109.646, -36.3757
59.216309, 109.216, -35.1456
59.552765, 108.786, -34.2599
59.889221, 108.358, -33.6961
60.225677, 107.933, -33.4363
60.562134, 107.511, -33.4686
60.898590, 107.093, -33.7888
61.235046, 106.681, -34.4009
61.571503, 106.276, -35.3177
61.907959, 105.878, -36.5606
62.244415, 105.488, -38.1586
62.580872, 105.107, -40.1473
62.917328, 104.737, -42.5676
63.253784, 104.378, -45.4638
63.590240, 104.030, -48.8819
63.926697, 103.696, -52.8683
64.263153, 103.375, -57.4678
64.599609, 103.068, -62.7227
64.936066, 102.776, -68.6715
65.272522, 102.500, -75.3478
65.608978, 102.239, -82.7800
65.945435, 101.995, -90.9901
66.281891, 101.768, -99.9936
66.618347, 101.557, -109.7987
66.954803, 101.363, -120.4061
67.291260, 101.187, -131.8082
67.627716, 101.027, -143.9893
67.964172, 100.885, -156.9247
68.300629, 100.759, -170.5812
68.637085, 100.650, 175.0832
68.973541, 100.556, 160.1187
69.309998, 100.479, 144.5830
69.646454, 100.417, 128.5408
69.982910, 100.369, 112.0623
70.319366, 100.336, 95.2223
70.655823, 100.317, 78.0989
70.992279, 100.312, 60.7719
71.328735, 100.320, 43.3215
71.665192, 100.341, 25.8273
72.001648, 100.375, 8.3661
72.338104, 100.422, -8.9880
72.674561, 100.480, -26.1658
73.011017, 100.550, -43.1028
73.347473, 100.632, -59.7410
73.683929, 100.724, -76.0285
74.020386, 100.827, -91.9205
74.356842, 100.939, -107.3791
74.693298, 101.060, -122.3734
75.029755, 101.190, -136.8795
75.366211, 101.327, -150.8801
75.702667, 101.472, -164.3642
76.039124, 101.622, -177.3264
76.375580, 101.778, 170.2333
76.712036, 101.938, 158.3100
77.048492, 102.102, 146.8948
77.384949, 102.270, 135.9754
77.721405, 102.439, 125.5362
78.057861, 102.610, 115.5596
78.394318, 102.782, 106.0259
78.730774, 102.953, 96.9141
79.067230, 103.125, 88.2023
79.403687, 103.295, 79.8683
79.740143, 103.463, 71.8896
80.076599, 103.630, 64.2438
80.413055, 103.793, 56.9091
80.749512, 103.954, 49.8642
81.085968, 104.110, 43.0884
81.422424, 104.263, 36.5622
81.758881, 104.412, 30.2666
82.095337, 104.555, 24.1840
82.431793, 104.694, 18.2976
82.768250, 104.827, 12.5916
83.104706, 104.955, 7.0513
83.441162, 105.077, 1.6630
83.777618, 105.192, -3.5860
84.114075, 105.302, -8.7075
84.450531, 105.405, -13.7125
84.786987, 105.502, -18.6108
85.123444, 105.592, -23.4117
85.459900, 105.676, -28.1236
85.796356, 105.752, -32.7543
86.132812, 105.822, -37.3108
86.469269, 105.885, -41.7996
86.805725, 105.941, -46.2267
87.142181, 105.991, -50.5973
87.478638, 106.033, -54.9167
87.815094, 106.069, -59.1894
88.151550, 106.099, -63.4198
88.488007, 106.122, -67.6121
88.824463, 106.139, -71.7701
89.160919, 106.150, -75.8975
89.497375, 106.155, -79.9981
89.833832, 106.154, -84.0753
90.170288, 106.147, -88.1328
90.506744, 106.136, -92.1741
90.843201, 106.119, -96.2027
91.179657, 106.097, -100.2223
91.516113, 106.071, -104.2367
91.852570, 106.040, -108.2495
92.189026, 106.006, -112.2648
92.525482, 105.967, -116.2867
92.861938, 105.925, -120.3192
93.198395, 105.880, -124.3668
93.534851, 105.831, -128.4338
93.871307, 105.780, -132.5249
94.207764, 105.726, -136.6447
94.544220, 105.671, -140.7983
94.880676, 105.613, -144.9904
95.217133, 105.554, -149.2263
95.553589, 105.493, -153.5112
95.890045, 105.431, -157.8502
96.226501, 105.369, -162.2489
96.562958, 105.306, -166.7128
96.899414, 105.243, -171.2473
97.235870, 105.180, -175.8581
97.572327, 105.118, 179.4492
97.908783, 105.056, 174.6688
98.245239, 104.995, 169.7949
98.581696, 104.936, 164.8219
98.918152, 104.879, 159.7439
99.254608, 104.823, 154.5552
99.591064, 104.770, 149.2501
99.927521, 104.720, 143.8230
100.263977, 104.673, 138.2681
100.600433, 104.629, 132.5802
100.936890, 104.590, 126.7539
101.273346, 104.554, 120.7841
101.609802, 104.523, 114.6660
101.946259, 104.497, 108.3948
102.282715, 104.476, 101.9665
102.619171, 104.460, 95.3770
102.955627, 104.450, 88.6229
103.292084, 104.447, 81.7012
103.628540, 104.449, 74.6094
103.964996, 104.458, 67.3454
104.301453, 104.473, 59.9080
104.637909, 104.495, 52.2964
104.974365, 104.524, 44.5107
105.310822, 104.560, 36.5515
105.647278, 104.602, 28.4204
105.983734, 104.652, 20.1198
106.320190, 104.708, 11.6526
106.656647, 104.771, 3.0229
106.993103, 104.840, -5.7644
107.329559, 104.915, -14.7035
107.666016, 104.996, -23.7877
108.002472, 105.083, -33.0096
108.338928, 105.176, -42.3608
108.675385, 105.273, -51.8322
109.011841, 105.376, -61.4136
109.348297, 105.483, -71.0942
109.684753, 105.594, -80.8629
110.021210, 105.709, -90.7074
110.357666, 105.827, -100.6152
110.694122, 105.949, -110.5735
111.030579, 106.073, -120.5688
111.367035, 106.199, -130.5875
111.703491, 106.328, -140.6161
112.039948, 106.458, -150.6409
112.376404, 106.590, -160.6483
112.712860, 106.723, -170.6249
113.049316, 106.856, 179.4423
113.385773, 106.991, 169.5659
113.722229, 107.125, 159.7580
114.058685, 107.260, 150.0303
114.395142, 107.394, 140.3936
114.731598, 107.528, 130.8584
115.068054, 107.662, 121.4341
115.404510, 107.795, 112.1297
115.740967, 107.927, 102.9532
116.077423, 108.058, 93.9119
116.413879, 108.188, 85.0125
116.750336, 108.317, 76.2608
117.086792, 108.444, 67.6619
117.423248, 108.570, 59.2203
117.759705, 108.695, 50.9396
118.096161, 108.818, 42.8231
118.432617, 108.940, 34.8730
118.769073, 109.060, 27.0913
119.105530, 109.178, 19.4792
119.441986, 109.295, 12.0377
119.778442, 109.410, 4.7668
120.114899, 109.523, -2.3336
120.451355, 109.635, -9.2640
120.787811, 109.745, -16.0254
121.124268, 109.854, -22.6193
121.460724, 109.960, -29.0472
121.797180, 110.066, -35.3112
122.133636, 110.169, -41.4134
122.470093, 110.272, -47.3564
122.806549, 110.372, -53.1430
123.143005, 110.471, -58.7759
123.479462, 110.569, -64.2584
123.815918, 110.665, -69.5934
124.152374, 110.760, -74.7845
124.488831, 110.853, -79.8351
124.825287, 110.945, -84.7486
125.161743, 111.035, -89.5287
125.498199, 111.124, -94.1790
125.834656, 111.211, -98.7033
126.171112, 111.297, -103.1052
126.507568, 111.382, -107.3885
126.844025, 111.465, -111.5569
127.180481, 111.547, -115.6141
127.516937, 111.627, -119.5637
127.853394, 111.706, -123.4095
128.189850, 111.783, -127.1550
128.526306, 111.858, -130.8037
128.862762, 111.932, -134.3589
129.199219, 112.004, -137.8243
129.535675, 112.075, -141.2031
129.872131, 112.144, -144.4984
130.208588, 112.211, -147.7134
130.545044, 112.276, -150.8508
130.881500, 112.340, -153.9141
131.217957, 112.401, -156.9054
131.554413, 112.461, -159.8276
