* Measurement data measured by REW V5.20.4
* Source: Umik-1  Gain: 12dB  , MICROPHONE, L, volume: 1.000. Timing signal peak level -25.4 dBFS, measurement signal peak level -18.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Jan 1, 2022 4:20:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0677 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: off axis
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 50.1709 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
50.170898, 64.689, -11.0907
50.537109, 64.678, -11.0575
50.903320, 64.745, -11.2515
51.269531, 64.840, -11.5646
51.635742, 64.958, -12.0282
52.001953, 65.089, -12.6726
52.368164, 65.228, -13.5204
52.734375, 65.367, -14.5841
53.100586, 65.501, -15.8650
53.466797, 65.627, -17.3562
53.833008, 65.741, -19.0453
54.199219, 65.842, -20.9184
54.565430, 65.929, -22.9623
54.931641, 66.002, -25.1662
55.297852, 66.060, -27.5218
55.664063, 66.103, -30.0221
56.030274, 66.129, -32.6600
56.396485, 66.136, -35.4269
56.762696, 66.124, -38.3114
57.128907, 66.091, -41.2990
57.495118, 66.036, -44.3718
57.861329, 65.958, -47.5100
58.227540, 65.857, -50.6925
58.593751, 65.733, -53.8987
58.959962, 65.587, -57.1099
59.326173, 65.420, -60.3106
59.692384, 65.234, -63.4895
60.058595, 65.033, -66.6406
60.424806, 64.819, -69.7632
60.791016, 64.596, -72.8622
61.157227, 64.366, -75.9479
61.523438, 64.136, -79.0352
61.889649, 63.908, -82.1428
62.255860, 63.687, -85.2922
62.622071, 63.476, -88.5062
62.988282, 63.279, -91.8075
63.354493, 63.100, -95.2177
63.720704, 62.940, -98.7554
64.086915, 62.801, -102.4360
64.453126, 62.685, -106.2702
64.819337, 62.592, -110.2637
65.185548, 62.522, -114.4173
65.551759, 62.476, -118.7267
65.917970, 62.452, -123.1830
66.284181, 62.449, -127.7732
66.650392, 62.468, -132.4812
67.016603, 62.507, -137.2885
67.382814, 62.565, -142.1752
67.749025, 62.641, -147.1205
68.115236, 62.734, -152.1038
68.481447, 62.843, -157.1052
68.847658, 62.966, -162.1058
69.213869, 63.101, -167.0877
